Comment,Designator,Footprint,MPN,LCSC
4.7kΩ,"R_CFG1,R_CFG4",R_0402_1005Metric,RC0402FR-074K7L,C105871
4.7uF,"C_VDDA1_4U7,C_VDDA2_4U7",C_0603_1608Metric,CL10A475KO8NNNC,C19666
4.7uF,"C_LDO_A,C_LDO_D,C_VMID1_4U7,C_VMID2_4U7",C_0603_1608Metric,GRM188Z71C475KE21D,C389010
470nF,"C_VMID1_470N,C_VMID2_470N",C_0603_1608Metric,CL10B474KA8NFNC,C318640
47uF,"C_BUCK_O1,C_BUCK_O2,C_BUCK_O3,C_LDO_IN,C_LDO_OUT,C_OPA_BULK",C_1210_3225Metric,GRM32ER71A476KE15L,C84494
680pF,"C_FB1N,C_FB1P,C_FB2N,C_FB2P,C_FB3N,C_FB3P,C_FB4N,C_FB4P,C_FB5N,C_FB5P,C_FB6N,C_FB6P,C_FB7N,C_FB7P,C_FB8N,C_FB8P",C_0402_1005Metric,GCM1555C1H681JA16D,C126514
"74LVC1G14GV,125","U_DUMP,U_LDO_EN,U_OE",SOT-23-5,"74LVC1G14GV,125",C131093
"74LVC1G17GV,125",U_TDM_SCH,SOT-23-5,"74LVC1G17GV,125",C6076
AO3400A,Q_DUMP,SOT-23,AO3400A,C20917
AO3401A,Q_PRE,SOT-23,AO3401A,C15127
AP63205WU-7,U_BUCK,TSOT-23-6,AP63205WU-7,C2071056
B340A-13-F,D_HOLD,D_SMA,B340A-13-F,C85098
BZT52C12-7-F,D_QIN_GS,D_SOD-123,BZT52C12-7-F,C124196
DMP6023LFG-13,Q_IN,Diodes_PowerDI3333-8,DMP6023LFG-13,C780842
LT3041ADE#TRPBF,U_LDO,DFN-14-1EP_3x4mm_P0.5mm_EP1.7x3.3mm,LT3041ADE#TRPBF,C7452883
OPA2320AIDR,"U_AFE1,U_AFE2,U_AFE3,U_AFE4,U_AFE5,U_AFE6,U_AFE7,U_AFE8",SOIC-8_3.9x4.9mm_P1.27mm,OPA2320AIDR,C2863402
SMBJ15A,D_IN,Littelfuse_SMBJ15A_SMB_Exact,SMBJ15A,C83846
SN74LVC1G123DCTR,U_RST2,SSOP-8_2.95x2.8mm_P0.65mm,SN74LVC1G123DCTR,C123302
SN74LVC1G125DBVR,U_TDM,SOT-23-5,SN74LVC1G125DBVR,C23654
SN74LVC3G34DCUR,U_CLK,VSSOP-8_2.3x2mm_P0.5mm,SN74LVC3G34DCUR,C130024
TMUX2821DSGR,"U_ISO1,U_ISO2,U_ISO3,U_ISO4,U_ISO5,U_ISO6,U_ISO7,U_ISO8",TI_DSG0008A_Exact,TMUX2821DSGR,C53283916
TPD2E2U06DRLR,"U_ESD1,U_ESD2,U_ESD3,U_ESD4,U_ESD5,U_ESD6,U_ESD7,U_ESD8",SOT-553,TPD2E2U06DRLR,C1972959
TPS3839K33DBZR,U_RST1,SOT-23,TPS3839K33DBZR,C96333
TPS389001DSER,"U_AUDIO,U_PWR",TI_DSE0006A_GNDToe018,TPS389001DSER,C1509297
US1B-13-F,D_BUCK_IN,D_SMA,US1B-13-F,C154439
XGL4020-332MEC,L_BUCK,Coilcraft_XGL4020_Exact,XGL4020-332MEC,C6937839
